room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5521442,9612626,Entire home/apt,,Near East Side,15,5.0,,2.0,334.0,3.0,41.887088,-87.620227,2015-10-04 15:24:51.650045
3793319,1500490,Private room,,Humboldt Park,1,5.0,4.0,1.0,93.0,1.0,41.898218,-87.698745,2015-10-05 11:07:43.150689
7542698,39521801,Entire home/apt,,Heart of Chicago,5,4.5,5.0,3.0,105.0,1.0,41.853977,-87.670203,2015-10-04 23:43:41.080788
5154949,21449050,Entire home/apt,,Sheffield Neighbors,0,,2.0,0.0,80.0,1.0,41.921467,-87.649109,2015-10-03 19:39:19.162613
949420,272671,Private room,,Uptown,6,4.5,,1.0,650.0,2.0,41.967356,-87.656805,2015-10-05 06:31:49.834289
5832943,4770980,Entire home/apt,,Ravenswood,50,5.0,2.0,0.0,107.0,1.0,41.964979,-87.680575,2015-10-03 20:27:26.569558
2461564,63859,Entire home/apt,,South Loop,18,5.0,4.0,1.0,200.0,3.0,41.853512,-87.624731,2015-10-04 17:05:57.124037
3666681,3965428,Entire home/apt,,River North,3,5.0,,2.0,250.0,20.0,41.88975,-87.634245,2015-10-05 02:55:26.063217
7821390,41178733,Entire home/apt,,Lake View East,1,5.0,,0.0,200.0,1.0,41.935845,-87.640424,2015-10-03 22:38:42.671590
6713933,11348701,Private room,,Lake View,0,,2.0,1.0,70.0,3.0,41.953037,-87.646976,2015-10-04 11:40:52.666963
602854,807399,Entire home/apt,,Near East Side,24,5.0,4.0,1.0,250.0,1.0,41.88651,-87.619507,2015-10-05 01:07:07.270270
7245448,37937586,Private room,,Lincoln Square,1,5.0,2.0,1.0,65.0,1.0,41.970105,-87.685422,2015-10-03 22:56:05.156495
585510,2886974,Entire home/apt,,Lincoln Park,148,5.0,3.0,1.0,145.0,2.0,41.918167,-87.64123,2015-10-04 16:11:47.389273
4701215,24301890,Entire home/apt,,Albany Park,16,5.0,2.0,1.0,100.0,3.0,41.954628,-87.712985,2015-10-04 15:54:31.037228
4352478,588448,Private room,,Noble Square,5,5.0,2.0,1.0,119.0,,41.896592,-87.666073,2015-10-05 14:31:26.819624
7820193,36618251,Entire home/apt,,Andersonville,0,,3.0,1.0,85.0,1.0,41.981855,-87.672634,2015-10-04 14:39:31.778628
421489,1180840,Entire home/apt,,South Loop,77,5.0,4.0,1.0,199.0,3.0,41.854574,-87.620294,2015-10-05 15:00:58.381243
6364938,21293621,Private room,,Chinatown,15,4.5,2.0,1.0,45.0,1.0,41.849693,-87.633971,2015-10-03 19:57:59.174870
930049,5009259,Private room,,Wicker Park,49,4.5,4.0,1.0,100.0,1.0,41.906812,-87.676129,2015-10-05 11:54:09.068216
557340,837429,Entire home/apt,,Albany Park,10,5.0,,2.0,200.0,5.0,41.958084,-87.724429,2015-10-05 13:52:22.405202
5985679,1150316,Entire home/apt,,Logan Square,36,4.5,,2.0,120.0,1.0,41.920837,-87.691188,2015-10-04 02:47:01.074019
90088,486780,Entire home/apt,,Gold Coast,13,4.5,4.0,1.0,99.0,30.0,41.901353,-87.625725,2015-10-04 20:40:55.351691
9814,33004,Entire home/apt,,Gold Coast,1,5.0,2.0,,174.0,,41.902105,-87.626282,2015-10-05 10:30:11.448037
6467817,13971375,Entire home/apt,,Hyde Park,6,4.5,4.0,1.0,100.0,1.0,41.796817,-87.593027,2015-10-05 00:06:54.062178
4868305,25039507,Entire home/apt,,Old Town,3,4.5,2.0,0.0,225.0,5.0,41.904322,-87.633711,2015-10-04 15:29:47.377445
3710947,15496774,Private room,,Wicker Park,21,5.0,2.0,1.0,85.0,2.0,41.910205,-87.680853,2015-10-03 20:34:26.050956
1831305,33004,Entire home/apt,,Park West,7,4.0,,4.0,378.0,,41.926129,-87.645679,2015-10-05 11:10:50.593574
3555569,3309724,Entire home/apt,,Near North,16,4.5,,2.0,700.0,2.0,41.896883,-87.633126,2015-10-05 15:42:25.567387
4862952,5997132,Entire home/apt,,Edgewater Glen,18,5.0,,2.0,305.0,1.0,41.992669,-87.661897,2015-10-04 03:48:48.629293
7501504,38870462,Entire home/apt,,Lincoln Park,0,,1.0,1.0,85.0,1.0,41.923542,-87.642649,2015-10-05 07:58:37.423808
7450344,7460924,Entire home/apt,,Dearborn Park,2,4.0,3.0,1.0,289.0,2.0,41.86747,-87.628961,2015-10-05 04:11:30.675448
1074240,709363,Entire home/apt,,Montclare,24,4.5,5.0,2.0,110.0,2.0,41.921031,-87.79883,2015-10-04 02:42:17.632372
7900211,41655568,Private room,,Near East Side,10,4.5,2.0,1.0,99.0,2.0,41.885631,-87.615771,2015-10-03 22:55:30.021809
6661595,34592701,Private room,,Noble Square,19,4.0,4.0,1.0,55.0,1.0,41.906366,-87.665609,2015-10-03 20:06:49.880531
1475647,2907254,Shared room,,West Rogers Park,26,5.0,1.0,1.0,20.0,1.0,42.017013,-87.687183,2015-10-05 00:25:50.442554
7149711,34750600,Entire home/apt,,Logan Square,7,3.5,5.0,1.0,78.0,1.0,41.918305,-87.718445,2015-10-04 11:02:04.527247
7021658,3965428,Entire home/apt,,River North,0,,5.0,2.0,500.0,10.0,41.887565,-87.631058,2015-10-05 12:05:40.104131
846818,4298857,Entire home/apt,,Near North,11,5.0,2.0,1.0,130.0,2.0,41.901729,-87.635842,2015-10-05 15:42:59.333750
190832,922085,Entire home/apt,,Logan Square,30,4.5,2.0,1.0,110.0,4.0,41.929314,-87.694865,2015-10-04 17:08:57.397550
6077462,2115313,Entire home/apt,,East Pilsen,4,4.5,4.0,1.0,170.0,2.0,41.856582,-87.643855,2015-10-04 21:38:34.764236
2250100,11492078,Private room,,Rogers Park,1,4.0,1.0,1.0,100.0,1.0,42.000382,-87.665328,2015-10-04 14:40:42.393998
7690379,39583991,Shared room,,Park West,9,4.5,2.0,1.0,35.0,1.0,41.928193,-87.641512,2015-10-04 12:55:01.821231
3173717,16094247,Entire home/apt,,Lake View,25,5.0,,2.0,198.0,3.0,41.947404,-87.66156,2015-10-04 11:27:49.625535
3639045,8607123,Private room,,West Rogers Park,0,,1.0,1.0,80.0,1.0,41.997386,-87.675075,2015-10-04 02:09:28.403643
4339860,11344781,Entire home/apt,,Old Town,3,4.5,,3.0,300.0,1.0,41.904426,-87.633841,2015-10-05 10:42:07.141200
5892992,257948,Entire home/apt,,Margate Park,20,4.5,4.0,1.0,109.0,2.0,41.974999,-87.654631,2015-10-04 09:26:26.372278
6884298,17013907,Private room,,Gold Coast,7,5.0,1.0,1.0,120.0,1.0,41.893661,-87.620231,2015-10-05 13:32:05.184612
7510583,28060431,Private room,,Near West Side,0,,3.0,1.0,200.0,1.0,41.882444,-87.650933,2015-10-05 02:56:57.690952
7097488,34959956,Entire home/apt,,West Town,16,5.0,,4.0,195.0,1.0,41.892937,-87.658652,2015-10-04 03:28:54.191826
3917702,691000,Shared room,,Englewood,3,4.0,2.0,1.0,29.0,1.0,41.776253,-87.655114,2015-10-05 06:10:04.723069
7053544,36993276,Private room,,Palmer Square,0,,2.0,1.0,90.0,1.0,41.920743,-87.699569,2015-10-03 23:59:25.418106
3267902,2676165,Entire home/apt,,Magnolia Glen,58,5.0,3.0,1.0,92.0,2.0,41.989502,-87.666848,2015-10-04 18:18:59.526593
2577401,3932195,Private room,,Noble Square,6,4.5,1.0,1.0,65.0,12.0,41.905462,-87.666237,2015-10-05 06:27:58.328562
1502674,33004,Entire home/apt,,Old Town Triangle,5,4.5,5.0,2.0,261.0,,41.913068,-87.640124,2015-10-05 04:21:00.226129
2865264,14645112,Private room,,Logan Square,11,5.0,2.0,1.0,75.0,1.0,41.936673,-87.711939,2015-10-05 14:26:15.704665
4533195,13757547,Entire home/apt,,Lake View,6,5.0,4.0,1.0,140.0,2.0,41.940399,-87.654195,2015-10-05 16:35:15.894855
5509147,27552102,Entire home/apt,,Ranch Triangle,4,5.0,3.0,2.0,151.0,7.0,41.916444,-87.652158,2015-10-04 10:34:54.458569
738643,3861412,Private room,,Park West,33,5.0,2.0,1.0,120.0,2.0,41.929178,-87.648132,2015-10-04 09:07:00.621729
3732867,575076,Private room,,Avondale,32,5.0,2.0,1.0,85.0,1.0,41.937282,-87.697812,2015-10-04 09:32:01.650321
7347908,38460169,Entire home/apt,,Ukrainian Village,11,5.0,4.0,1.0,129.0,2.0,41.899791,-87.681833,2015-10-04 05:06:40.610293
3005982,15318755,Entire home/apt,,Wrightwood Neighbors,63,4.5,4.0,1.0,115.0,1.0,41.928275,-87.66114,2015-10-04 02:24:07.739501
2117401,3730806,Private room,,Magnolia Glen,0,,2.0,1.0,129.0,1.0,41.988933,-87.664511,2015-10-05 11:45:53.911044
3783533,19416379,Entire home/apt,,Humboldt Park,55,5.0,,2.0,80.0,2.0,41.897272,-87.702401,2015-10-04 14:40:33.798545
5163825,13378887,Entire home/apt,,Sheffield Neighbors,5,4.5,3.0,1.0,125.0,,41.919689,-87.657213,2015-10-04 21:36:19.321283
7115326,2342981,Entire home/apt,,River North,2,5.0,2.0,1.0,185.0,2.0,41.894842,-87.634524,2015-10-05 10:24:55.271404
6655156,12964831,Entire home/apt,,Near West Side,5,,2.0,1.0,110.0,1.0,41.881343,-87.657839,2015-10-05 12:59:08.938435
6902220,32721447,Entire home/apt,,South Loop,13,5.0,2.0,1.0,196.0,2.0,41.860645,-87.6235,2015-10-04 18:01:51.793986
5110524,398753,Entire home/apt,,Edgewater Beach,0,,4.0,1.0,150.0,1.0,41.997978,-87.65871,2015-10-05 11:00:52.598761
4470637,8852597,Entire home/apt,,Noble Square,10,4.0,5.0,2.0,99.0,1.0,41.905549,-87.663065,2015-10-04 03:41:44.725009
4463350,6510575,Shared room,,Lake View,6,4.5,1.0,1.0,30.0,1.0,41.939134,-87.650517,2015-10-05 12:26:46.275766
6627375,7338384,Private room,,River North,0,,2.0,1.0,349.0,1.0,41.889379,-87.632952,2015-10-05 14:42:58.541803
7973196,42075961,Private room,,Scottsdale,2,,2.0,1.0,30.0,1.0,41.734765,-87.738206,2015-10-03 23:42:55.884338
7414801,27813082,Private room,,Heart of Chicago,3,3.5,2.0,1.0,55.0,1.0,41.856362,-87.678913,2015-10-04 16:25:14.325229
6003054,11156544,Private room,,South Old Irving Park,11,5.0,2.0,1.0,90.0,1.0,41.944404,-87.730201,2015-10-05 15:20:30.063600
6926192,36306608,Entire home/apt,,Gold Coast,5,5.0,4.0,2.0,345.0,1.0,41.89189,-87.623178,2015-10-03 21:08:56.571797
5605532,6674840,Entire home/apt,,Lake View,16,5.0,3.0,1.0,149.0,1.0,41.947585,-87.659777,2015-10-04 17:12:22.218969
5851115,28811949,Entire home/apt,,East Garfield Park,33,4.5,,3.0,95.0,2.0,41.874535,-87.721408,2015-10-05 05:10:24.374374
6685149,20940267,Entire home/apt,,Lake View East,2,5.0,2.0,1.0,115.0,3.0,41.945473,-87.645954,2015-10-05 00:17:00.901406
6153674,683529,Entire home/apt,,Roscoe Village,0,,,3.0,325.0,,41.941063,-87.682139,2015-10-04 14:14:12.455015
3060944,5508671,Entire home/apt,,East Ukrainian Village,14,4.5,3.0,1.0,154.0,2.0,41.901008,-87.671502,2015-10-04 21:17:48.485061
5602905,7199413,Shared room,,South Loop,31,4.5,2.0,1.0,89.0,1.0,41.862748,-87.62005,2015-10-05 11:46:06.476657
7909675,29245138,Private room,,Near North,0,,4.0,1.0,176.0,1.0,41.895354,-87.627625,2015-10-04 22:00:58.459672
4445289,6607872,Entire home/apt,,Lake View,14,4.5,2.0,1.0,125.0,3.0,41.951316,-87.666451,2015-10-05 00:35:38.196598
7595364,3475130,Entire home/apt,,Gold Coast,2,4.5,2.0,0.0,145.0,3.0,41.897322,-87.622162,2015-10-03 21:16:29.864232
7651659,40134412,Private room,,Buena Park,0,,1.0,1.0,82.0,1.0,41.958712,-87.64792,2015-10-04 20:08:51.203972
4105283,18649856,Private room,,Edgewater,49,5.0,2.0,1.0,47.0,1.0,41.996729,-87.662595,2015-10-04 09:45:58.133011
6451749,33689468,Private room,,Lake View,0,,2.0,1.0,140.0,1.0,41.94386,-87.649774,2015-10-04 01:52:08.876502
4511517,6905394,Private room,,Logan Square,33,4.5,2.0,1.0,40.0,1.0,41.930661,-87.717939,2015-10-04 13:14:42.545931
234060,1006155,Private room,,Bronzeville,44,4.0,4.0,1.0,49.0,2.0,41.829562,-87.620855,2015-10-05 16:12:27.116641
7479597,33373536,Entire home/apt,,Old Town,0,,4.0,2.0,160.0,3.0,41.910656,-87.64036,2015-10-04 04:16:31.687872
7563183,19415508,Private room,,Lake View,5,5.0,2.0,1.0,95.0,1.0,41.934616,-87.653211,2015-10-05 15:36:03.081347
7376165,34761512,Entire home/apt,,Uptown,4,3.5,,2.0,150.0,2.0,41.973521,-87.658732,2015-10-05 09:27:56.100090
7128613,9700767,Entire home/apt,,East Ukrainian Village,5,5.0,3.0,1.0,100.0,1.0,41.902157,-87.67372,2015-10-05 03:09:20.558797
5095067,3762539,Entire home/apt,,Palmer Square,6,4.5,3.0,1.0,85.0,5.0,41.921873,-87.701144,2015-10-05 13:01:24.876140
2413258,12334558,Entire home/apt,,Buena Park,38,5.0,4.0,1.0,169.0,1.0,41.954586,-87.652223,2015-10-04 14:15:31.742531
2661465,3965428,Entire home/apt,,Near East Side,14,5.0,4.0,1.0,150.0,28.0,41.886246,-87.617914,2015-10-03 22:50:04.210946
356743,1805578,Private room,,Bucktown,48,5.0,2.0,1.0,119.0,2.0,41.91307,-87.67806,2015-10-05 12:14:14.516387
1027463,5654677,Private room,,Lawndale,1,4.0,4.0,1.0,45.0,2.0,41.85423,-87.707843,2015-10-04 03:45:51.806761
7239178,14008508,Private room,,Park West,4,5.0,2.0,1.0,69.0,1.0,41.926199,-87.645459,2015-10-04 04:18:40.588764
6525751,18688037,Private room,,East Hyde Park,1,3.0,1.0,1.0,30.0,14.0,41.804403,-87.585542,2015-10-04 10:56:53.762268
6116987,6554745,Entire home/apt,,Lake View,2,5.0,5.0,2.0,245.0,3.0,41.946712,-87.65923,2015-10-05 02:12:28.008032
4840199,24705990,Entire home/apt,,Uptown,5,5.0,,3.0,447.0,,41.971937,-87.66752,2015-10-04 14:40:08.197772
4116127,21355314,Private room,,Lake View,1,,2.0,1.0,62.0,1.0,41.940202,-87.665546,2015-10-05 15:54:14.623119
4556780,23622088,Entire home/apt,,Logan Square,12,5.0,4.0,2.0,125.0,1.0,41.923285,-87.695556,2015-10-05 11:26:15.881754
7989457,24341986,Private room,,Humboldt Park,5,4.0,2.0,1.0,70.0,1.0,41.903593,-87.696427,2015-10-05 03:03:59.235986
4240601,22004774,Entire home/apt,,Noble Square,11,4.0,,3.0,289.0,3.0,41.901211,-87.663819,2015-10-05 13:53:58.758058
4823973,24839655,Private room,,East Ukrainian Village,12,5.0,3.0,1.0,90.0,1.0,41.897112,-87.672922,2015-10-04 17:03:24.896017
4243905,22022871,Entire home/apt,,Logan Square,1,5.0,4.0,2.0,300.0,2.0,41.927214,-87.697328,2015-10-04 23:41:35.559778
5942191,30848593,Private room,,Lake View East,21,4.5,2.0,1.0,75.0,1.0,41.944412,-87.648899,2015-10-04 16:09:15.686014
150442,691000,Shared room,,Englewood,76,4.5,4.0,1.0,29.0,1.0,41.775875,-87.654965,2015-10-04 09:11:13.252592
6824295,6340184,Entire home/apt,,Heart of Chicago,4,5.0,,2.0,189.0,1.0,41.855159,-87.673675,2015-10-05 03:59:03.981775
3895309,6437909,Shared room,,Lake View East,13,5.0,2.0,1.0,70.0,1.0,41.935159,-87.645338,2015-10-04 07:25:44.102359
6168944,6013215,Entire home/apt,,Near West Side,6,5.0,4.0,1.0,215.0,2.0,41.879526,-87.650562,2015-10-04 04:41:51.958366
5170016,20368629,Private room,,Wrigleyville,22,5.0,2.0,1.0,85.0,2.0,41.947473,-87.652303,2015-10-04 22:21:17.926819
1461451,2907254,Shared room,,West Rogers Park,62,4.5,1.0,1.0,26.0,1.0,42.015898,-87.688268,2015-10-04 03:10:39.208909
3172794,16090300,Entire home/apt,,Logan Square,13,5.0,,4.0,1000.0,1.0,41.917041,-87.693752,2015-10-05 16:00:51.546357
6050616,31398552,Entire home/apt,,Humboldt Park,0,,,2.0,600.0,3.0,41.896383,-87.694891,2015-10-05 07:08:04.395537
7619921,33127842,Entire home/apt,,Near East Side,0,,4.0,1.0,330.0,13.0,41.886853,-87.62044,2015-10-04 10:37:57.612574
4243904,13543144,Entire home/apt,,Near North,0,,3.0,1.0,150.0,2.0,41.899879,-87.628352,2015-10-05 12:00:26.607084
1964520,10129776,Entire home/apt,,Lake View,0,,,3.0,311.0,3.0,41.951004,-87.662031,2015-10-04 23:22:32.054658
5205644,1752752,Private room,,Logan Square,2,5.0,2.0,1.0,115.0,2.0,41.920181,-87.71377,2015-10-05 11:31:26.178659
6545910,34240272,Private room,,Albany Park,2,5.0,2.0,1.0,64.0,1.0,41.966334,-87.705149,2015-10-05 09:04:00.289465
7968086,19704341,Private room,,Albany Park,2,4.5,2.0,1.0,48.0,1.0,41.962566,-87.723778,2015-10-03 22:18:14.461446
2268717,11584881,Private room,,Albany Park,2,4.0,2.0,1.0,50.0,7.0,41.964359,-87.717381,2015-10-05 14:15:22.214385
8267501,1779158,Private room,,Albany Park,0,,2.0,1.0,68.0,1.0,41.966788,-87.704486,2015-10-05 11:29:30.608773
7330851,38405611,Private room,,Albany Park,10,4.5,4.0,1.0,65.0,1.0,41.971037,-87.705025,2015-10-05 16:19:42.595785
7713682,40523237,Private room,,Avondale,5,4.0,2.0,1.0,79.0,1.0,41.940561,-87.71525,2015-10-05 17:02:44.392931
8385120,43811572,Private room,,Andersonville,0,,2.0,1.0,110.0,2.0,41.980653,-87.669433,2015-10-04 10:38:10.796426
4720313,24383885,Private room,,Edgewater,0,,2.0,1.0,60.0,2.0,41.985853,-87.664668,2015-10-04 00:23:56.015819
6623524,34666481,Private room,,Edgewater,0,,1.0,1.0,30.0,1.0,41.984867,-87.665422,2015-10-04 17:37:13.816084
8429035,18021362,Private room,,Andersonville,0,,2.0,1.0,200.0,2.0,41.977283,-87.665752,2015-10-04 08:25:09.858992
4916337,1874439,Private room,,Andersonville,16,5.0,2.0,1.0,71.0,1.0,41.976439,-87.673786,2015-10-05 10:08:43.804131
7603299,39874537,Private room,,Lakewood - Balmoral,1,5.0,2.0,1.0,65.0,4.0,41.983217,-87.662684,2015-10-05 08:32:37.630499
7048360,36962029,Private room,,Uptown,5,4.5,2.0,1.0,79.0,1.0,41.975487,-87.666748,2015-10-05 01:18:41.031247
4816542,2808446,Private room,,Andersonville,7,4.5,2.0,1.0,65.0,1.0,41.98043,-87.671518,2015-10-04 05:14:30.911056
4393551,3771351,Private room,,Uptown,3,5.0,2.0,1.0,75.0,2.0,41.973665,-87.663983,2015-10-04 03:59:41.006135
4657209,24061629,Private room,,South Austin,0,,1.0,1.0,45.0,2.0,41.889821,-87.774515,2015-10-04 06:42:24.505720
478680,337459,Private room,,Logan Square,15,4.5,2.0,1.0,55.0,1.0,41.933135,-87.715957,2015-10-05 02:08:04.636406
8615486,3494015,Private room,,Logan Square,0,,2.0,1.0,70.0,1.0,41.93407,-87.721065,2015-10-05 05:11:26.558387
7727551,14927287,Private room,,Logan Square,12,5.0,2.0,1.0,65.0,1.0,41.936015,-87.720946,2015-10-04 20:42:34.588916
7915564,26927186,Private room,,Logan Square,3,5.0,2.0,1.0,35.0,2.0,41.932506,-87.721183,2015-10-05 13:41:27.354528
6183817,29455686,Private room,,Avondale,12,4.5,2.0,1.0,54.0,2.0,41.932344,-87.689749,2015-10-04 23:41:58.959418
4269903,22167098,Private room,,Logan Square,1,5.0,4.0,1.0,84.0,1.0,41.938622,-87.720495,2015-10-05 14:19:50.865738
6900600,36151189,Private room,,Canaryville,10,4.5,2.0,1.0,90.0,,41.811325,-87.643222,2015-10-05 15:38:35.221377
