room_id	host_id	room_type	borough	neighborhood	reviews	overall_satisfaction	accommodates	bedrooms	price	minstay	latitude	longitude	last_modified
3204561	16238250	Entire home/apt		Bucktown	36	4.5	4	2	160	1	41.921465	-87.684336	42:29.6
7064546	34361239	Entire home/apt		Lake View	0		2	0	160	1	41.936424	-87.653368	31:58.8
166706	791089	Entire home/apt		Roscoe Village	14	4		3	280	4	41.941991	-87.673612	29:32.5
5961202	30710770	Private room		Park West	9	4.5	2	1	128		41.925733	-87.640092	04:39.1
1831268	33004	Entire home/apt		Park West	12	4.5		4	325	3	41.926278	-87.645417	29:52.1
3862040	18286676	Private room		Printers Row	32	5	2	1	140	1	41.87248	-87.630138	05:14.8
4623126	23944890	Entire home/apt		Ravenswood	2	3.5	3	0	80	2	41.973564	-87.677015	00:19.0
7854183	10320287	Private room		Wrightwood Neighbors	2	5	1	1	70	1	41.926398	-87.655254	22:09.9
6387858	23349801	Entire home/apt		West Town	1	5	4	2	175	3	41.895224	-87.665998	56:26.9
7437770	24481160	Private room		Pilsen	11	5	2	1	83	1	41.858853	-87.653681	46:52.4
3344103	13999922	Private room		Wicker Park	1		1	1	39	1	41.905976	-87.668177	58:53.4
7218497	36429186	Private room		Logan Square	15	5	2	1	79	2	41.929763	-87.703917	38:38.8
6984331	7871642	Entire home/apt		Palmer Square	4	5	4	1	88	2	41.917534	-87.694104	51:39.6
7849221	41361104	Entire home/apt		Sheridan Park	6	4	2	0	84	1	41.966501	-87.664781	29:13.0
640473	1006155	Private room		Bronzeville	43	4	1	1	29	3	41.828639	-87.619752	32:31.6
7869821	416401	Entire home/apt		The Loop	1		4	1	299	7	41.886496	-87.621691	51:35.3
6900863	36162112	Entire home/apt		Ravenswood	18	4.5	4	1	130	2	41.970523	-87.676478	15:59.9
3129878	15892068	Private room		Hyde Park	7	4.5	2	1	85	1	41.80091	-87.606098	20:29.9
5851766	16715530	Private room		Logan Square	62	5	2	1	76	1	41.924686	-87.709485	17:29.3
6732098	35258117	Shared room		Sheffield Neighbors	14	4.5	1	1	48	1	41.918686	-87.652633	43:30.3
7109030	2204693	Entire home/apt		South Loop	0		5	2	399	3	41.856123	-87.626082	08:27.5
7200412	29481834	Private room		Old Town Triangle	2	4.5	3	1	175	1	41.914464	-87.634742	24:45.5
126280	626517	Private room		Uptown	61	5	1	1	52		41.967977	-87.651228	46:49.7
5175761	4648135	Entire home/apt		Margate Park	23	5	4	0	113	2	41.969211	-87.650312	11:56.3
7583774	4336170	Private room		West De Paul	2	3.5	2	1	75	1	41.927565	-87.66397	08:42.6
6134806	3403886	Entire home/apt		Lake View	24	4.5	3	1	149	2	41.936413	-87.650298	29:10.4
5992125	18525416	Entire home/apt		Lake View	1	5		2	400	1	41.943609	-87.660237	28:38.6
2782345	14230480	Entire home/apt		Park West	31	4.5	2	1	119	2	41.929848	-87.643535	52:49.8
7619822	39965062	Entire home/apt		Buena Park	2	5	3	0	125	1	41.959377	-87.647056	49:11.6
6869971	35916506	Private room		Near North	19	5	1	1	75	2	41.889501	-87.626458	47:30.6
4427562	586386	Entire home/apt		Dearborn Park	2	4.5		2	350	1	41.866423	-87.628763	16:17.4
5792779	20375272	Entire home/apt		Dearborn Park	14	4.5	4	1	180	2	41.865007	-87.627887	08:52.2
184764	886362	Entire home/apt		Portage Park	105	5		3	225	2	41.943252	-87.754034	58:59.7
1935869	2394783	Entire home/apt		Andersonville	47	4		4	169	3	41.978489	-87.667443	48:41.8
5314422	3910881	Entire home/apt		Lake View	12	4.5	2	1	119	3	41.949468	-87.670743	19:18.8
3585870	2058872	Entire home/apt		Palmer Square	81	4.5	2	1	125	2	41.923668	-87.702611	43:35.4
7983042	42135116	Private room		Bucktown	3	5	2	1	70	1	41.915515	-87.684016	02:32.1
3843678	13504796	Private room		The Loop	74	4.5	2	1	65	2	41.881488	-87.62486	13:33.7
5185205	17017751	Entire home/apt		Streeterville	28	4.5	2	0	125	1	41.891416	-87.619142	22:55.4
1259702	5918937	Entire home/apt		Lincoln Park	15	5	4	2	275	2	41.911896	-87.645771	16:30.5
7622564	39276334	Shared room		Lake View East	8	5	2	1	68	1	41.942111	-87.643002	54:27.6
6626412	16567003	Entire home/apt		Lake View East	10	4.5	3	1	145	2	41.946817	-87.64431	34:08.8
2479175	12681444	Entire home/apt		Ravenswood Gardens	49	4.5	2	1	78	2	41.962928	-87.693581	10:48.7
